sample_name	alkylated_pahs	altitude	altitude_m	ammonium	ammonium_umol_per_l	anonymized_name	benzene	collection_timestamp	country	cycloalkanes	depth	depth_m	description	diss_inorg_nitrogen	diss_nitrate	diss_phosphate	distance	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	ethylbenzene	geo_loc_name	host_subject_id	isopropylbenzene	latitude	latitude_deg	longitude	longitude_deg	nitrate_umol_per_l	pah_sum	phosphate_umol_per_l	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	title	toluene	tot_carb	tot_nitro	tot_sulfur	tph_sum	zylenes_total
1197.SE.20100926.GY.NF.010.BC.053	313.91	0	0.0	2976	2976	SE.20100926.GY.NF.010.BC.053	0.85	2010-09-26	GAZ:Gulf of Mexico	3.4	1439	1439.0	sediment	3048	73	208	3.044326081	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	1.7	Gulf of Mexico	SE.20100926.GY.NF.010.BC.053	1.7	28.757164	28.757164	-88.388669	-88.388669	73	102.96	208	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	1.7	3.225	0.213	0.139	429.62	3.4
1197.SE.20100926.GY.NF.010.BC.053.a	313.91	0	0.0	2976	2976	SE.20100926.GY.NF.010.BC.053	0.85	2010-09-26	GAZ:Gulf of Mexico	3.4	1439	1439.0	sediment	3048	73	208	3.044326081	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	1.7	Gulf of Mexico	SE.20100926.GY.NF.010.BC.053	1.7	28.757164	28.757164	-88.388669	-88.388669	73	102.96	208	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	1.7	3.225	0.213	0.139	429.62	3.4
1197.SE.20100926.GY.NF.011.BC.057	780.58	0	0.0	4403	4403	SE.20100926.GY.NF.011.BC.057	0.85	2010-09-26	GAZ:Gulf of Mexico	3.4	1449	1449.0	sediment	5150	747	283	2.95570772	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	1.7	Gulf of Mexico	SE.20100926.GY.NF.011.BC.057	1.7	28.765306	28.765306	-88.366883	-88.366883	747	151.47	283	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	1.7	3.262	0.192	0.247	944.8	3.4
1197.SE.20100926.GY.NF.011.BC.057.a	780.58	0	0.0	4403	4403	SE.20100926.GY.NF.011.BC.057	0.85	2010-09-26	GAZ:Gulf of Mexico	3.4	1449	1449.0	sediment	5150	747	283	2.95570772	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	1.7	Gulf of Mexico	SE.20100926.GY.NF.011.BC.057	1.7	28.765306	28.765306	-88.366883	-88.366883	747	151.47	283	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	1.7	3.262	0.192	0.247	944.8	3.4
1197.SE.20100926.GY.NF.012.BC.058	141.36	0	0.0	1921	1921	SE.20100926.GY.NF.012.BC.058	1.1	2010-09-26	GAZ:Gulf of Mexico	4.5	1520	1520.0	sediment	2375	454	184	2.956852442	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	2.25	Gulf of Mexico	SE.20100926.GY.NF.012.BC.058	2.25	28.757853	28.757853	-88.344461	-88.344461	454	54.1	184	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	2.25	3.742	0.2	0.213	212.31	4.5
1197.SE.20100926.GY.NF.012.BC.058.a	141.36	0	0.0	1921	1921	SE.20100926.GY.NF.012.BC.058	1.1	2010-09-26	GAZ:Gulf of Mexico	4.5	1520	1520.0	sediment	2375	454	184	2.956852442	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	2.25	Gulf of Mexico	SE.20100926.GY.NF.012.BC.058	2.25	28.757853	28.757853	-88.344461	-88.344461	454	54.1	184	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	2.25	3.742	0.2	0.213	212.31	4.5
1197.SE.20100927.GY.ALTNF015.BC.070	5491.46	0	0.0	335	335	SE.20100927.GY.ALTNF015.BC.070	1.05	2010-09-27	GAZ:Gulf of Mexico	4.3	1607	1607.0	sediment	436	102	84	3.206331803	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	2.15	Gulf of Mexico	SE.20100927.GY.ALTNF015.BC.070	2.15	28.709925	28.709925	-88.366436	-88.366436	102	622.36	84	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	2.15	3.824	0.266	0.615	6129.92	4.3
1197.SE.20100927.GY.ALTNF015.BC.070.a	5491.46	0	0.0	335	335	SE.20100927.GY.ALTNF015.BC.070	1.05	2010-09-27	GAZ:Gulf of Mexico	4.3	1607	1607.0	sediment	436	102	84	3.206331803	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	2.15	Gulf of Mexico	SE.20100927.GY.ALTNF015.BC.070	2.15	28.709925	28.709925	-88.366436	-88.366436	102	622.36	84	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	2.15	3.824	0.266	0.615	6129.92	4.3
1197.SE.20100927.GY.LBNL17.BC.074	106.65	0	0.0	1091	1091	SE.20100927.GY.LBNL17.BC.074	1	2010-09-27	GAZ:Gulf of Mexico	3.9	1595	1595.0	sediment	1604	513	128	4.612695837	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	1.95	Gulf of Mexico	SE.20100927.GY.LBNL17.BC.074	1.95	28.696767	28.696767	-88.384875	-88.384875	513	53.11	128	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	1.95	3.685	0.196	0.379	174.41	3.9
1197.SE.20100927.GY.LBNL17.BC.074.a	106.65	0	0.0	1091	1091	SE.20100927.GY.LBNL17.BC.074	1	2010-09-27	GAZ:Gulf of Mexico	3.9	1595	1595.0	sediment	1604	513	128	4.612695837	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	1.95	Gulf of Mexico	SE.20100927.GY.LBNL17.BC.074	1.95	28.696767	28.696767	-88.384875	-88.384875	513	53.11	128	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	1.95	3.685	0.196	0.379	174.41	3.9
